id,year,event,location,content,label,source
1548,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1549,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1550,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1551,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1552,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1553,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1554,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1555,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1556,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1557,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1558,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1559,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1560,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1561,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1562,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1563,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1564,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1565,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1566,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1567,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1568,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1569,2024,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1570,2025,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1571,2020,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1572,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1573,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1574,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1575,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1576,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1577,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1578,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1579,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1580,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1581,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1582,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1583,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1584,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1585,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1586,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1587,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1588,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1589,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1590,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1591,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1592,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1593,2024,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1594,2025,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1595,2020,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1596,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1597,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1598,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1599,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1600,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1601,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1602,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1603,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1604,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1605,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1606,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1607,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1608,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1609,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1610,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1611,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1612,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1613,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1614,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1615,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1616,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1617,2024,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1618,2025,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1619,2020,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1620,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1621,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1622,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1623,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1624,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1625,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1626,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1627,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1628,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1629,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1630,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1631,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1632,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1633,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1634,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1635,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1636,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1637,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1638,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1639,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1640,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1641,2024,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1642,2025,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1643,2020,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1644,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1645,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1646,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1647,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1648,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1649,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1650,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1651,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1652,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1653,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1654,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1655,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1656,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1657,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1658,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1659,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1660,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1661,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1662,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1663,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1664,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1665,2024,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1666,2025,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1667,2020,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1668,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1669,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1670,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1671,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1672,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1673,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1674,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1675,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1676,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1677,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1678,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1679,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1680,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1681,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1682,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1683,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1684,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
